County,State,TotalPop,IncomePerCap,Poverty,Unemployment
Winkler County,Texas,7777,23483,17.9,4.1
Wise County,Texas,63247,27447,13.0,6.0
Wood County,Texas,43315,25955,13.3,7.8
Yoakum County,Texas,8481,23681,12.3,7.5
Young County,Texas,18166,25661,16.5,4.5
Zapata County,Texas,14415,17817,34.1,12.4
Zavala County,Texas,12152,13105,36.2,10.1
Beaver County,Utah,6414,21128,10.5,4.7
Box Elder County,Utah,52182,22808,10.2,5.5
Cache County,Utah,120288,21752,15.2,3.6
Carbon County,Utah,20512,22536,16.2,5.4
Daggett County,Utah,702,28533,4.0,1.0
Davis County,Utah,334977,28293,6.2,3.3
Duchesne County,Utah,20259,23323,12.7,6.2
Emery County,Utah,10410,21465,12.9,4.4
Garfield County,Utah,5020,23228,13.1,4.6
Grand County,Utah,9544,25662,12.7,6.4
Iron County,Utah,48504,19791,20.9,6.2
Juab County,Utah,10694,20457,12.8,2.9
Kane County,Utah,7246,24836,11.1,4.0
Millard County,Utah,12651,23283,11.6,2.9
Morgan County,Utah,11014,30457,2.4,3.4
Piute County,Utah,1860,17455,12.9,1.9
Rich County,Utah,2307,19512,18.0,1.8
Salt Lake County,Utah,1106700,30134,10.4,4.3
San Juan County,Utah,15193,17385,28.4,8.4
Sanpete County,Utah,28892,17426,16.9,6.8
Sevier County,Utah,20961,21196,13.3,4.8
Summit County,Utah,39731,52671,7.5,2.3
Tooele County,Utah,63357,24069,6.9,6.5
Uintah County,Utah,36343,25001,11.6,6.7
Utah County,Utah,576496,23207,11.8,4.3
Wasatch County,Utah,29306,30086,7.8,2.4
Washington County,Utah,155577,25415,14.2,5.2
Wayne County,Utah,2700,22195,9.2,1.9
Weber County,Utah,244101,25275,12.1,4.8
Addison County,Vermont,36825,31051,7.8,4.4
Bennington County,Vermont,36054,31313,12.8,4.4
Caledonia County,Vermont,30576,25896,12.3,4.9
Chittenden County,Vermont,160985,36384,11.3,4.1
Essex County,Vermont,6203,23022,15.5,5.1
Franklin County,Vermont,48816,30624,8.0,4.4
Grand Isle County,Vermont,6950,38635,7.5,4.9
Lamoille County,Vermont,25191,31390,14.0,3.8
Orange County,Vermont,28901,29651,11.5,4.3
Orleans County,Vermont,26951,25392,14.2,4.4
Rutland County,Vermont,59676,28443,11.4,4.7
Washington County,Vermont,58691,32137,11.8,3.9
Windham County,Vermont,43332,29819,14.1,5.6
Windsor County,Vermont,55485,34264,10.2,4.5
Accomack County,Virginia,32840,24266,19.8,5.4
Albemarle County,Virginia,105105,39273,9.8,3.2
Alleghany County,Virginia,15489,25952,19.3,4.4
Amelia County,Virginia,12802,26118,13.0,3.3
Amherst County,Virginia,31819,24296,13.4,5.6
Appomattox County,Virginia,15462,26347,14.4,3.5
Arlington County,Virginia,229534,67061,8.2,3.2
Augusta County,Virginia,74390,30088,8.8,4.1
Bath County,Virginia,4458,28195,9.3,9.1
Bedford County,Virginia,77319,30633,8.9,4.4
Bland County,Virginia,6524,23505,8.3,6.7
Botetourt County,Virginia,33149,34733,7.7,3.8
Brunswick County,Virginia,16435,20278,20.9,7.8
Buchanan County,Virginia,22611,19241,26.5,8.6
Buckingham County,Virginia,17048,19702,16.6,8.4
Campbell County,Virginia,55158,26417,11.7,3.4
Caroline County,Virginia,29889,28039,11.9,6.3
Carroll County,Virginia,29767,23690,14.6,3.8
Charles City County,Virginia,7022,32689,13.2,6.2
Charlotte County,Virginia,12176,19830,22.7,6.8
Chesterfield County,Virginia,335594,35370,7.2,5.6
Clarke County,Virginia,14331,38658,10.4,3.3
Craig County,Virginia,5131,26753,9.3,4.1
Culpeper County,Virginia,49795,29979,8.9,5.9
Cumberland County,Virginia,9797,23488,21.8,7.0
Dickenson County,Virginia,15181,21082,23.0,5.6
Dinwiddie County,Virginia,28033,25981,14.8,8.3
Essex County,Virginia,11083,25730,12.3,5.6
Fairfax County,Virginia,1142004,52976,6.1,4.5
Fauquier County,Virginia,68406,43067,6.2,4.0
Floyd County,Virginia,15594,25446,12.0,5.5
Fluvanna County,Virginia,26109,31952,6.1,4.8
Franklin County,Virginia,56277,27282,14.8,5.4
Frederick County,Virginia,83784,32554,5.6,4.1
Giles County,Virginia,16867,25004,11.3,4.8
Gloucester County,Virginia,37035,32271,8.7,3.3
Goochland County,Virginia,22148,47610,5.3,3.4
Grayson County,Virginia,15708,20525,20.2,7.4
Greene County,Virginia,19213,30215,9.4,6.3
Greensville County,Virginia,11606,16835,17.0,5.7
Halifax County,Virginia,35030,21155,18.7,4.9
Hanover County,Virginia,103218,37924,5.8,3.4
Henrico County,Virginia,324073,36497,10.4,5.8
Henry County,Virginia,51956,21473,19.2,8.7
Highland County,Virginia,2213,32648,10.6,0.5
Isle of Wight County,Virginia,36090,33172,10.3,7.0
James City County,Virginia,73028,42047,7.5,4.9
King and Queen County,Virginia,7052,25831,15.6,4.4
King George County,Virginia,25564,35676,5.7,4.9
King William County,Virginia,16329,31192,10.9,3.7
Lancaster County,Virginia,10848,33997,11.0,4.4
Lee County,Virginia,24428,18514,26.2,11.4
Loudoun County,Virginia,374558,50456,3.7,3.8
Louisa County,Virginia,34813,30237,11.8,7.7
Lunenburg County,Virginia,12369,18555,18.6,4.5
Madison County,Virginia,13108,29705,9.8,5.6
Mathews County,Virginia,8830,35252,10.6,1.4
Mecklenburg County,Virginia,30959,22970,16.9,5.0
Middlesex County,Virginia,10710,29871,10.2,6.3
Montgomery County,Virginia,97692,28277,23.8,4.3
Nelson County,Virginia,14863,33597,14.9,3.7
New Kent County,Virginia,20523,36768,5.1,5.1
Northampton County,Virginia,11998,24835,20.3,4.4
Northumberland County,Virginia,12254,33364,13.5,7.8
Nottoway County,Virginia,15537,19452,21.5,5.8
Orange County,Virginia,35265,30660,8.9,6.5
Page County,Virginia,23694,24057,17.0,7.8
Patrick County,Virginia,17958,21785,20.2,6.6
Pittsylvania County,Virginia,61970,23597,14.7,6.7
Powhatan County,Virginia,28364,33807,5.5,4.0
Prince Edward County,Virginia,22903,19751,21.4,5.2
Prince George County,Virginia,37704,27970,12.3,8.5
Prince William County,Virginia,450763,38225,7.0,5.0
Pulaski County,Virginia,34330,26328,13.9,6.9
Rappahannock County,Virginia,7359,38185,8.9,2.9
Richmond County,Virginia,8873,19728,17.4,6.4
Roanoke County,Virginia,93419,33717,8.0,4.8
Rockbridge County,Virginia,22440,31534,15.6,5.0
Rockingham County,Virginia,78653,28884,10.2,4.6
Russell County,Virginia,27725,21673,17.6,6.8
Scott County,Virginia,22290,20969,17.7,6.2
Shenandoah County,Virginia,42854,27016,10.3,5.2
Smyth County,Virginia,31298,22319,17.4,6.3
Southampton County,Virginia,18089,25784,11.7,4.3
Spotsylvania County,Virginia,130159,33859,8.0,5.5
Stafford County,Virginia,141159,39158,4.7,4.3
Surry County,Virginia,6670,27162,13.6,7.7
Sussex County,Virginia,11595,15882,17.8,5.5
Tazewell County,Virginia,42689,24325,15.6,7.8
Warren County,Virginia,38991,30009,9.8,6.0
Washington County,Virginia,54457,25640,14.6,6.4
Westmoreland County,Virginia,17596,32265,9.5,7.3
Wise County,Virginia,39539,21694,19.9,9.6
Wythe County,Virginia,29048,24879,15.2,6.2
York County,Virginia,67196,38193,5.2,6.4
Alexandria city,Virginia,154710,57019,10.5,3.9
Bristol city,Virginia,17077,21589,21.3,7.7
Buena Vista city,Virginia,6495,17969,20.8,4.7
Charlottesville city,Virginia,46487,32860,24.5,3.6
Chesapeake city,Virginia,235410,32123,9.6,5.8
Colonial Heights city,Virginia,17582,27608,13.2,10.2
Covington city,Virginia,5675,22098,19.9,5.6
Danville city,Virginia,41911,21882,21.5,10.1
Emporia city,Virginia,5495,18548,30.9,20.4
Fairfax city,Virginia,23580,46489,7.8,4.1
Falls Church city,Virginia,13843,65510,2.9,4.2
Franklin city,Virginia,8334,24820,16.6,14.8
Fredericksburg city,Virginia,28135,32359,16.3,5.6
Galax city,Virginia,6788,22572,21.2,5.5
Hampton city,Virginia,136255,27053,14.9,7.8
Harrisonburg city,Virginia,53064,20134,29.0,5.3
Hopewell city,Virginia,22353,22668,21.2,10.0
Lexington city,Virginia,7113,16668,21.4,4.1
Lynchburg city,Virginia,79237,22439,22.3,7.4
Manassas city,Virginia,41379,30572,8.8,7.4
Manassas Park city,Virginia,16117,29641,10.3,6.0
Martinsville city,Virginia,13256,22544,24.0,8.3
Newport News city,Virginia,180775,26028,16.4,7.5
Norfolk city,Virginia,245752,26670,21.0,8.5
Norton city,Virginia,4043,19297,25.7,13.5
Petersburg city,Virginia,32037,21992,27.6,12.2
Poquoson city,Virginia,12022,39305,4.9,4.7
Portsmouth city,Virginia,95536,24291,17.7,9.7
Radford city,Virginia,17380,19539,37.5,7.5
Richmond city,Virginia,220892,30113,25.2,8.8
Roanoke city,Virginia,99572,24697,21.6,6.6
Salem city,Virginia,25521,30141,8.9,4.7
Staunton city,Virginia,24273,27571,13.3,3.9
Suffolk city,Virginia,88057,31239,11.2,6.7
Virginia Beach city,Virginia,450057,34607,8.0,5.3
Waynesboro city,Virginia,21620,23640,17.4,4.4
Williamsburg city,Virginia,14817,26921,21.5,7.3
Winchester city,Virginia,27516,28429,12.5,4.3
Adams County,Washington,19261,18415,23.1,5.9
Asotin County,Washington,22259,26878,13.5,6.7
Benton County,Washington,190529,30511,13.4,6.0
Chelan County,Washington,75138,27605,12.8,5.8
Clallam County,Washington,73439,28857,17.1,8.8
Clark County,Washington,457474,32162,10.3,6.2
Columbia County,Washington,3999,28950,14.5,7.9
Cowlitz County,Washington,103590,25878,16.9,8.4
Douglas County,Washington,40585,25060,13.7,3.9
Ferry County,Washington,7568,21951,21.2,9.5
Franklin County,Washington,89124,22125,15.9,5.8
Garfield County,Washington,2226,24781,11.7,7.2
Grant County,Washington,93420,22508,15.9,6.9
Grays Harbor County,Washington,71454,24081,16.0,10.1
Island County,Washington,80323,33837,9.5,6.7
Jefferson County,Washington,30524,32317,12.8,7.5
King County,Washington,2118119,46316,10.2,5.0
Kitsap County,Washington,258903,34412,9.9,5.7
Kittitas County,Washington,43726,26698,19.6,5.3
Klickitat County,Washington,21172,25069,14.9,5.0
Lewis County,Washington,76012,23853,16.0,8.8
Lincoln County,Washington,10344,26918,13.7,4.2
Mason County,Washington,61569,26312,16.2,8.3
Okanogan County,Washington,41377,22755,21.8,6.7
Pacific County,Washington,20940,23050,18.6,6.4
Pend Oreille County,Washington,13066,26128,16.6,8.0
Pierce County,Washington,845193,31157,12.2,6.9
San Juan County,Washington,16221,40784,10.7,4.0
Skagit County,Washington,121725,30069,14.3,6.4
Skamania County,Washington,11498,28644,13.3,6.2
Snohomish County,Washington,771904,35737,8.8,5.4
Spokane County,Washington,490764,28325,15.2,6.3
Stevens County,Washington,43858,24707,15.6,6.7
Thurston County,Washington,269885,32410,11.6,7.7
Wahkiakum County,Washington,4105,26964,13.9,6.3
Walla Walla County,Washington,59862,26651,14.4,6.0
Whatcom County,Washington,212738,29186,15.3,6.8
Whitman County,Washington,47794,22154,27.5,8.5
Yakima County,Washington,248279,21510,19.0,7.5
Barbour County,West Virginia,16790,20762,22.5,8.9
Berkeley County,West Virginia,111610,27658,13.0,8.3
Boone County,West Virginia,23236,20992,24.4,10.6
Braxton County,West Virginia,14345,20633,22.1,15.3
Brooke County,West Virginia,23067,25630,13.0,3.5
Cabell County,West Virginia,96100,24646,23.2,5.5
Calhoun County,West Virginia,7450,19696,17.1,14.5
Clay County,West Virginia,8901,16229,25.2,10.8
Doddridge County,West Virginia,8570,21164,14.9,6.5
Fayette County,West Virginia,44602,20758,20.0,8.4
Gilmer County,West Virginia,8305,18207,25.0,12.3
Grant County,West Virginia,11673,21705,12.7,5.2
Greenbrier County,West Virginia,35523,23777,17.8,6.8
Hampshire County,West Virginia,23412,21771,16.9,5.7
Hancock County,West Virginia,29921,25157,13.5,7.5
Hardy County,West Virginia,13812,23446,14.8,5.1
Harrison County,West Virginia,68438,27162,15.0,6.5
Jackson County,West Virginia,29123,23246,14.7,4.6
Jefferson County,West Virginia,55673,33241,9.9,7.3
Kanawha County,West Virginia,187827,28201,16.5,6.5
Lewis County,West Virginia,16371,21513,19.8,7.5
Lincoln County,West Virginia,21241,19321,24.9,7.3
Logan County,West Virginia,34428,21074,22.5,12.8
McDowell County,West Virginia,19707,13985,34.9,11.2
Marion County,West Virginia,56575,25205,16.1,5.5
Marshall County,West Virginia,32006,24043,15.2,5.9
Mason County,West Virginia,27000,21094,19.3,7.7
Mercer County,West Virginia,60963,21698,21.4,6.2
Mineral County,West Virginia,27421,21888,14.8,6.9
Mingo County,West Virginia,25150,19272,28.9,15.6
Monongalia County,West Virginia,103715,29285,21.3,6.1
Monroe County,West Virginia,13517,22830,17.2,9.0
Morgan County,West Virginia,17510,24026,11.1,11.1
Nicholas County,West Virginia,25496,22101,18.6,7.3
Ohio County,West Virginia,42906,29769,13.7,5.1
Pendleton County,West Virginia,7138,23697,18.7,5.0
Pleasants County,West Virginia,7527,24605,16.6,7.4
Pocahontas County,West Virginia,8574,23219,17.6,6.3
Preston County,West Virginia,33760,22540,15.2,8.4
Putnam County,West Virginia,56644,30690,9.3,3.5
Raleigh County,West Virginia,77097,23435,17.6,7.6
Randolph County,West Virginia,29152,23642,18.3,7.3
Ritchie County,West Virginia,10005,21533,18.5,8.5
Roane County,West Virginia,14348,20723,19.3,9.2
Summers County,West Virginia,13210,20142,19.0,11.1
Taylor County,West Virginia,16977,23683,15.7,8.9
Tucker County,West Virginia,7035,22385,15.3,7.4
Tyler County,West Virginia,8949,24599,16.4,8.2
Upshur County,West Virginia,24604,21279,21.2,8.1
Wayne County,West Virginia,41063,20582,20.8,8.8
Webster County,West Virginia,8637,20314,26.7,10.6
Wetzel County,West Virginia,15793,22088,23.2,6.7
Wirt County,West Virginia,5800,19747,21.2,7.8
Wood County,West Virginia,86016,26717,16.9,6.0
Wyoming County,West Virginia,22130,20474,22.2,11.7
Adams County,Wisconsin,20111,24874,13.0,8.1
Ashland County,Wisconsin,15779,22983,14.6,7.2
Barron County,Wisconsin,45358,26935,11.5,3.6
Bayfield County,Wisconsin,15004,28272,11.0,5.5
Brown County,Wisconsin,258004,29874,11.3,4.4
Buffalo County,Wisconsin,13243,28286,10.7,3.5
Burnett County,Wisconsin,15239,26308,14.6,5.1
Calumet County,Wisconsin,49737,32713,5.9,2.0
Chippewa County,Wisconsin,63445,27020,10.7,3.7
Clark County,Wisconsin,34513,23437,13.2,3.3
Columbia County,Wisconsin,56790,31290,8.3,3.8
Crawford County,Wisconsin,16313,24391,13.0,4.1
Dane County,Wisconsin,522837,37193,12.4,3.8
Dodge County,Wisconsin,87833,27000,8.8,4.8
Door County,Wisconsin,27443,34253,8.4,4.6
Douglas County,Wisconsin,43503,27844,14.2,5.6
Dunn County,Wisconsin,44260,26354,12.8,4.7
Eau Claire County,Wisconsin,102388,27780,14.5,4.0
Florence County,Wisconsin,4354,28211,8.4,6.4
Fond du Lac County,Wisconsin,102082,29431,8.5,4.0
Forest County,Wisconsin,9035,23936,17.5,8.3
Grant County,Wisconsin,51742,23753,15.3,3.5
Green County,Wisconsin,36869,30208,8.9,2.6
Green Lake County,Wisconsin,18745,26372,11.4,3.4
Iowa County,Wisconsin,23576,31717,9.0,3.5
Iron County,Wisconsin,5748,26689,15.2,7.8
Jackson County,Wisconsin,20531,24740,13.0,4.7
Jefferson County,Wisconsin,84586,28819,9.8,4.3
Juneau County,Wisconsin,26427,24376,14.3,4.3
Kenosha County,Wisconsin,167886,28996,14.5,7.8
Kewaunee County,Wisconsin,20378,28767,9.2,3.5
La Crosse County,Wisconsin,117582,29495,14.4,4.6
Lafayette County,Wisconsin,16755,27023,10.4,2.7
Langlade County,Wisconsin,19190,25142,14.8,6.7
Lincoln County,Wisconsin,27994,28603,9.2,4.0
Manitowoc County,Wisconsin,79680,27777,10.2,3.7
Marathon County,Wisconsin,135293,30151,10.3,3.8
Marinette County,Wisconsin,40712,25778,13.2,5.7
Marquette County,Wisconsin,15164,26050,11.8,5.5
Menominee County,Wisconsin,4506,17197,35.8,8.1
Milwaukee County,Wisconsin,956586,26933,20.5,7.1
Monroe County,Wisconsin,45303,26724,12.6,4.7
Oconto County,Wisconsin,37465,28437,9.1,4.5
Oneida County,Wisconsin,35352,30550,9.0,3.9
Outagamie County,Wisconsin,183288,30858,8.6,3.1
Ozaukee County,Wisconsin,87817,45820,5.9,3.0
Pepin County,Wisconsin,7282,27901,13.1,3.4
Pierce County,Wisconsin,41226,31109,10.7,2.7
Polk County,Wisconsin,43328,27993,9.9,4.8
Portage County,Wisconsin,70371,28363,13.1,4.6
Price County,Wisconsin,13566,27161,11.9,2.9
Racine County,Wisconsin,195101,29582,11.9,5.8
Richland County,Wisconsin,17626,24941,13.6,3.5
Rock County,Wisconsin,161226,26954,14.3,6.4
Rusk County,Wisconsin,14211,23574,15.2,4.1
St. Croix County,Wisconsin,87142,36561,4.8,3.3
Sauk County,Wisconsin,63340,28331,11.3,3.6
Sawyer County,Wisconsin,16384,29712,17.7,6.2
Shawano County,Wisconsin,41136,26627,11.5,3.9
Sheboygan County,Wisconsin,115094,28849,8.2,4.4
Taylor County,Wisconsin,20344,26290,10.9,3.8
Trempealeau County,Wisconsin,29510,26654,9.0,3.3
Vernon County,Wisconsin,30378,25314,16.6,2.9
Vilas County,Wisconsin,21465,29058,15.3,7.9
Walworth County,Wisconsin,102917,29192,12.4,5.6
Washburn County,Wisconsin,15638,28232,13.0,5.1
Washington County,Wisconsin,133967,36177,5.5,3.4
Waukesha County,Wisconsin,396731,42094,5.0,3.3
Waupaca County,Wisconsin,51651,29423,11.0,3.8
Waushara County,Wisconsin,24170,25838,11.1,5.0
Winnebago County,Wisconsin,169540,29763,12.2,3.6
Wood County,Wisconsin,73427,29039,11.1,4.8
Albany County,Wyoming,37944,26034,23.0,4.8
Big Horn County,Wyoming,11920,23724,13.0,4.7
Campbell County,Wyoming,48116,33200,9.4,4.6
Carbon County,Wyoming,15689,27797,13.3,3.4
Converse County,Wyoming,14166,31948,8.0,5.8
Crook County,Wyoming,7347,34186,5.1,3.6
Fremont County,Wyoming,40354,27220,13.7,6.0
Goshen County,Wyoming,13479,27253,13.2,6.5
Hot Springs County,Wyoming,4741,30939,12.5,4.1
Johnson County,Wyoming,8562,32732,9.9,4.3
Laramie County,Wyoming,97031,31554,10.4,5.3
Lincoln County,Wyoming,18791,29516,9.3,6.0
Natrona County,Wyoming,81023,31900,9.9,5.1
Niobrara County,Wyoming,2479,23370,14.9,0.0
Park County,Wyoming,29276,32557,7.0,3.3
Platte County,Wyoming,8703,31242,10.5,2.5
Sheridan County,Wyoming,29964,31643,6.8,3.1
Sublette County,Wyoming,10037,32175,7.4,4.2
Sweetwater County,Wyoming,44527,31700,12.0,5.2
Teton County,Wyoming,22923,49200,6.8,1.3
Uinta County,Wyoming,20758,27115,14.9,6.4
Washakie County,Wyoming,8253,27345,12.8,6.1
Weston County,Wyoming,7117,30955,14.4,2.2
Adjuntas Municipio,Puerto Rico,18525,7117,64.1,40.9
Aguada Municipio,Puerto Rico,39470,9001,52.2,17.6
Aguadilla Municipio,Puerto Rico,55722,10872,51.6,22.6
Aguas Buenas Municipio,Puerto Rico,26855,10615,48.3,20.7
Aibonito Municipio,Puerto Rico,24008,10224,49.2,6.4
Añasco Municipio,Puerto Rico,27892,9344,45.4,14.3
Arecibo Municipio,Puerto Rico,89550,9954,48.6,17.4
Arroyo Municipio,Puerto Rico,18504,7639,56.7,15.7
Barceloneta Municipio,Puerto Rico,24583,8762,48.6,18.9
Barranquitas Municipio,Puerto Rico,29237,7716,60.7,11.7
Bayamón Municipio,Puerto Rico,188614,14138,34.7,14.5
Cabo Rojo Municipio,Puerto Rico,49726,9523,52.5,12.8
Caguas Municipio,Puerto Rico,134269,13904,37.7,15.4
Camuy Municipio,Puerto Rico,32936,9738,48.5,19.1
Canóvanas Municipio,Puerto Rico,46779,11094,42.8,23.3
Carolina Municipio,Puerto Rico,161684,16188,29.0,14.1
Cataño Municipio,Puerto Rico,25595,11627,49.4,27.9
Cayey Municipio,Puerto Rico,45431,12594,43.6,10.6
Ceiba Municipio,Puerto Rico,12238,11840,43.2,11.9
Ciales Municipio,Puerto Rico,17325,8049,58.2,20.1
Cidra Municipio,Puerto Rico,41181,10965,43.2,16.9
Coamo Municipio,Puerto Rico,39796,10307,48.3,8.2
Comerío Municipio,Puerto Rico,19914,7047,58.9,25.0
Corozal Municipio,Puerto Rico,34933,7887,55.2,29.1
Culebra Municipio,Puerto Rico,1494,11450,41.8,1.6
Dorado Municipio,Puerto Rico,37722,15495,33.1,20.7
Fajardo Municipio,Puerto Rico,33075,10900,43.7,28.4
Florida Municipio,Puerto Rico,12140,7837,56.4,17.3
Guánica Municipio,Puerto Rico,17327,7207,65.2,31.2
Guayama Municipio,Puerto Rico,42623,9183,55.1,7.9
Guayanilla Municipio,Puerto Rico,19578,8347,55.8,23.9
Guaynabo Municipio,Puerto Rico,90773,24264,26.9,10.6
Gurabo Municipio,Puerto Rico,47074,16559,31.1,14.8
Hatillo Municipio,Puerto Rico,40978,10360,45.3,9.4
Hormigueros Municipio,Puerto Rico,16474,11588,39.3,23.1
Humacao Municipio,Puerto Rico,54736,11682,45.7,13.3
Isabela Municipio,Puerto Rico,43314,8798,54.0,19.4
Jayuya Municipio,Puerto Rico,15297,7179,60.3,27.1
Juana Díaz Municipio,Puerto Rico,47952,10244,47.7,21.9
Juncos Municipio,Puerto Rico,39704,9017,51.0,26.9
Lajas Municipio,Puerto Rico,23893,7229,60.6,17.8
Lares Municipio,Puerto Rico,27321,8212,56.4,36.2
Las Marías Municipio,Puerto Rico,8874,7154,57.6,2.4
Las Piedras Municipio,Puerto Rico,38253,10342,45.5,21.0
Loíza Municipio,Puerto Rico,27242,8729,51.9,28.6
Luquillo Municipio,Puerto Rico,18952,10434,46.0,27.3
Manatí Municipio,Puerto Rico,40705,10559,46.1,18.1
Maricao Municipio,Puerto Rico,6180,5943,65.0,12.1
Maunabo Municipio,Puerto Rico,11297,8830,52.6,24.6
Mayagüez Municipio,Puerto Rico,79615,10656,52.0,25.9
Moca Municipio,Puerto Rico,37676,7881,57.7,26.2
Morovis Municipio,Puerto Rico,31785,8816,49.3,20.5
Naguabo Municipio,Puerto Rico,26584,10016,49.3,11.2
Naranjito Municipio,Puerto Rico,29112,8996,47.5,23.8
Orocovis Municipio,Puerto Rico,21906,7326,56.3,32.1
Patillas Municipio,Puerto Rico,17769,8679,57.3,19.9
Peñuelas Municipio,Puerto Rico,21661,7983,57.3,23.3
Ponce Municipio,Puerto Rico,148863,10775,51.6,15.3
Quebradillas Municipio,Puerto Rico,24548,9287,51.7,13.1
Rincón Municipio,Puerto Rico,14526,10220,48.6,14.3
Río Grande Municipio,Puerto Rico,51768,10804,38.2,22.9
Sabana Grande Municipio,Puerto Rico,23610,9158,49.0,21.4
Salinas Municipio,Puerto Rico,29239,8738,53.6,9.1
San Germán Municipio,Puerto Rico,32937,9563,51.8,8.3
San Juan Municipio,Puerto Rico,355181,18160,42.0,15.0
San Lorenzo Municipio,Puerto Rico,38689,10497,45.6,11.7
San Sebastián Municipio,Puerto Rico,38970,8072,55.3,28.0
Santa Isabel Municipio,Puerto Rico,22475,10478,49.1,9.7
Toa Alta Municipio,Puerto Rico,74169,14162,29.8,13.8
Toa Baja Municipio,Puerto Rico,81905,12240,35.8,18.7
Trujillo Alto Municipio,Puerto Rico,69478,15703,30.4,7.3
Utuado Municipio,Puerto Rico,30209,8140,53.0,30.0
Vega Alta Municipio,Puerto Rico,38589,10492,50.6,21.5
Vega Baja Municipio,Puerto Rico,54754,10197,43.8,16.8
Vieques Municipio,Puerto Rico,8931,11136,36.8,12.8
Villalba Municipio,Puerto Rico,23659,10449,50.0,24.8
Yabucoa Municipio,Puerto Rico,35025,8672,52.4,25.4
Yauco Municipio,Puerto Rico,37585,8124,50.4,24.0
